GISJOIN_ZCTA,COUNTYFP10,STATEFP10,ZCTA5CE10,GISJOIN_CBSA,p_overlap,urban,GISJOIN_county,YEAR,tot_hh,p20_hh_state,p80_hh_state,p20_cutoff_state,p80_cutoff_state,p20_static,p80_static,threshold_bin_p20_state,threshold_bin_p80_state,poor_income_static,rich_income_static,static_ice_income,poor,rich,ice_income,poor_black_static,rich_white_static,static_ice_race,poor_black,rich_white,ice_race,tot_pop,med_hh_inc,p_nh_white,p_nh_black,p_nh_ai,p_nh_asian,p_hisp,p_no_hs,p_ling_iso,p_pov,p_rent_occ,pop_density
G15352,051,54,15352,G48540,1.0418286497759228e-12,0,G5400510,2007-2011,13915,148016,592064,17500,87500,20453,100000,3,12,3932,966.5,-0.21311534315486885,2891.5,2021,-0.06255839022637441,38,951.5,0.06564858066834352,38,2003.5,0.1412504491555875,948,27083,99.26160337552743,0,0,0.10548523206751054,0.10548523206751054,29.394387001477106,0,35.970464135021096,20.652173913043477,0.007358091482956821
G15353,059,42,15353,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,48,54500,100,0,0,0,0,13.953488372093023,0,12.5,0,0.3130648392853304
G15357,051,42,15357,G38300,1.1163491904800804e-11,0,G4200510,2007-2011,54717,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,16525,3505,-0.23795164208564065,16525,3505,-0.23795164208564065,900.5,3411,0.04588153590291866,900.5,3411,0.04588153590291866,1382,47600,99.92764109985528,0,0,0,0,13.748763600395646,0,18.254545454545454,11.032028469750891,0.06301114749797188
G15359,059,42,15359,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,155,51667,99.35483870967742,0.6451612903225806,0,0,0,6.363636363636363,0,5.921052631578947,14.285714285714285,0.42151033685069694
G15362,059,42,15362,G34060,4.4547501534351563e-13,0,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,813,39453,96.5559655596556,0,2.5830258302583027,0,0,22.71186440677966,0,12.669126691266912,29.059829059829063,0.012106487573828924
G15364,059,42,15364,G38300,5.699939454265442e-13,0,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,947,52361,99.47201689545935,0,0,0,0,11.411411411411411,0,10.454065469904963,19.263456090651555,0.009823541401420296
G15370,059,42,15370,G38300,1.0913155667475118,0,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,15002,43057,87.64831355819224,7.765631249166778,0.1866417810958539,0.11998400213304893,3.1995733902146384,14.126679462571978,0.5638690088917806,20.127961265779007,35.13337670787248,0.03912090242741876
G15380,051,54,15380,G48540,3.6340830622489026e-12,0,G5400510,2007-2011,13915,148016,592064,17500,87500,20453,100000,3,12,3932,966.5,-0.21311534315486885,2891.5,2021,-0.06255839022637441,38,951.5,0.06564858066834352,38,2003.5,0.1412504491555875,760,47321,97.89473684210527,0,0,0,1.8421052631578945,17.142857142857142,0,19.736842105263158,27.636363636363637,0.007571992599586999
G15521,009,42,15521,G27780,2.1318667855162044e-12,0,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,2077,43458,98.41116995666827,0.9629272989889264,0.2407318247472316,0,0.19258545979778527,10.872675250357654,0,10.929224843524315,14.848883048620237,0.02253273839091171
G15522,001,24,15522,G19060,4.744015202310646e-14,0,G2400010,2007-2011,28596,425675.4,1702701.6,32500,137500,20453,100000,6,14,7662.5,2672.5,-0.17449993006014827,11926,1338.5,-0.370244090082529,215,2590,0.08305357392642328,323,1314,0.034655196530983354,12073,38038,95.63488776608963,1.3749689389546924,0,0.4224302161848753,1.7973991551395678,16.561477325853204,0.06026516673362796,16.207819107620608,25.954198473282442,0.024753920526132834
G15533,009,42,15533,NA,NA,NA,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,1504,40329,93.0186170212766,0.3324468085106383,0,0,2.2606382978723407,19.176706827309236,0,14.760638297872342,14.938488576449913,0.015473432873799573
G15534,009,42,15534,G43740,0.9347614884159814,0,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,897,41406,96.54403567447045,0.11148272017837235,0,0,1.1148272017837235,11.09375,0,14.988814317673377,11.044776119402986,0.0071366191785519435
G15535,001,24,15535,G19060,2.395480453786076e-13,0,G2400010,2007-2011,28596,425675.4,1702701.6,32500,137500,20453,100000,6,14,7662.5,2672.5,-0.17449993006014827,11926,1338.5,-0.370244090082529,215,2590,0.08305357392642328,323,1314,0.034655196530983354,1981,39281,98.8389702170621,0,0,0,0.5047955577990914,20.279255319148938,1.1918951132300357,7.168096920747097,12.99165673420739,0.0048446728596386315
G15536,009,42,15536,NA,NA,NA,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,430,36190,93.02325581395348,0,0,0.6976744186046512,0,11.149825783972126,0,27.674418604651162,29.310344827586203,0.0048823877814395
G15537,009,42,15537,NA,NA,NA,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,7957,43475,98.75581249214528,0.22621591051903983,0,0.741485484479075,0.27648611285660424,17.894377029567597,0,12.36284766522072,22.280593325092706,0.02717733704550243
G15539,009,42,15539,NA,NA,NA,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,615,31402,97.5609756097561,0,0,0,0,15.280898876404494,0,1.951219512195122,8.536585365853659,0.17238579632835513
G15545,001,24,15545,G43740,39.17610147902394,0,G2400010,2007-2011,28596,425675.4,1702701.6,32500,137500,20453,100000,6,14,7662.5,2672.5,-0.17449993006014827,11926,1338.5,-0.370244090082529,215,2590,0.08305357392642328,323,1314,0.034655196530983354,3077,37589,97.95255118622035,0,0,0.09749756256093597,0.6499837504062398,17.86833855799373,0,15.502112447188821,19.858156028368796,0.023944962608127583
G15550,009,42,15550,G43740,5.442706286840086e-13,0,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,1661,39167,98.61529199277544,0.4214328717639976,0,0,0.7224563515954244,14.662273476112025,0,11.887254901960784,24.37325905292479,0.011780322749291638
G15554,009,42,15554,G43740,1.3870151622543063e-12,0,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,2320,45476,95.99137931034483,0.7327586206896551,0.646551724137931,0,2.5,10.338680926916222,0,12.931034482758621,22.058823529411764,0.025037443198146807
G15559,009,42,15559,G43740,0.8495701929296748,0,G4200090,2007-2011,20001,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,5111.5,1358.5,-0.18764061796910156,5111.5,1358.5,-0.18764061796910156,4,1327,0.06614669266536673,4,1327,0.06614669266536673,1922,41090,99.53173777315297,0,0,0,0.46826222684703434,13.706293706293707,0,4.682622268470343,17.704517704517706,0.015670165537555174
